"dateTime","weather","lineNumber","passengersNumber","lineType"
"2019-04-05",26,29,3032,"daily"
"2019-04-05",26,42,418,"daily"
"2019-04-05",26,40,2065,"daily"
"2019-04-05",26,104,115,"night"
"2019-04-05",26,27,2900,"daily"
"2019-04-05",26,28,13036,"daily"
"2019-04-05",26,18,2145,"daily"
"2019-04-05",26,41,1319,"daily"
"2019-04-05",26,45,1820,"daily"
"2019-04-05",26,19,1806,"daily"
"2019-04-05",26,31,2873,"daily"
"2019-04-05",26,102,25,"night"
"2019-04-05",26,103,79,"night"
"2019-04-05",26,106,113,"night"
"2019-04-05",26,23,945,"daily"
"2019-04-05",26,17,6990,"daily"
"2019-04-05",26,101,107,"night"
"2019-04-05",26,24,2745,"daily"
"2019-04-05",26,21,1608,"daily"
"2019-04-05",26,110,68,"night"
"2019-04-05",26,26,5295,"daily"
"2019-04-05",26,108,291,"night"
"2019-04-05",26,33,4880,"daily"
"2019-04-05",26,16,1000,"daily"
"2019-04-05",26,14,4355,"daily"
"2019-04-05",26,109,36,"night"
"2019-04-05",26,37,1064,"daily"
"2019-04-05",26,35,659,"daily"
"2019-04-05",26,36,1384,"daily"
"2019-04-05",26,13,11659,"daily"
"2019-04-05",26,46,181,"daily"
"2019-04-05",26,25,4016,"daily"
"2019-04-05",26,38,414,"daily"
"2019-04-05",26,9,3651,"daily"
"2019-04-05",26,32,752,"daily"
"2019-04-05",26,43,355,"daily"
"2019-04-05",26,6,66,"daily"
"2019-04-05",26,5,10426,"daily"
"2019-04-05",26,8,2392,"daily"
"2019-04-06",25,31,1875,"daily"
"2019-04-06",25,29,2464,"daily"
"2019-04-06",25,28,9452,"daily"
"2019-04-06",25,21,1580,"daily"
"2019-04-06",25,17,3313,"daily"
"2019-04-06",25,32,519,"daily"
"2019-04-06",25,25,3302,"daily"
"2019-04-06",25,23,594,"daily"
"2019-04-06",25,110,278,"night"
"2019-04-06",25,24,1465,"daily"
"2019-04-06",25,45,1134,"daily"
"2019-04-06",25,26,4631,"daily"
"2019-04-06",25,16,1241,"daily"
"2019-04-06",25,109,118,"night"
"2019-04-06",25,18,1554,"daily"
"2019-04-06",25,19,1641,"daily"
"2019-04-06",25,33,2912,"daily"
"2019-04-06",25,37,647,"daily"
"2019-04-06",25,106,329,"night"
"2019-04-06",25,35,159,"daily"
"2019-04-06",25,101,361,"night"
"2019-04-06",25,13,9210,"daily"
"2019-04-06",25,42,445,"daily"
"2019-04-06",25,38,230,"daily"
"2019-04-06",25,14,2914,"daily"
"2019-04-06",25,46,183,"daily"
"2019-04-06",25,9,3106,"daily"
"2019-04-06",25,27,1461,"daily"
"2019-04-06",25,41,549,"daily"
"2019-04-06",25,6,29,"daily"
"2019-04-06",25,36,926,"daily"
"2019-04-06",25,8,1886,"daily"
"2019-04-06",25,5,7330,"daily"
"2019-04-06",25,103,225,"night"
"2019-04-06",25,104,424,"night"
"2019-04-06",25,108,190,"night"
"2019-04-06",25,102,113,"night"
"2019-04-07",25,28,5641,"daily"
"2019-04-07",25,5,3179,"daily"
"2019-04-07",25,45,1054,"daily"
"2019-04-07",25,18,815,"daily"
"2019-04-07",25,27,263,"daily"
"2019-04-07",25,31,585,"daily"
"2019-04-07",25,6,29,"daily"
"2019-04-07",25,41,276,"daily"
"2019-04-07",25,29,1202,"daily"
"2019-04-07",25,25,1170,"daily"
"2019-04-07",25,17,2217,"daily"
"2019-04-07",25,19,841,"daily"
"2019-04-07",25,24,310,"daily"
"2019-04-07",25,14,1409,"daily"
"2019-04-07",25,26,1990,"daily"
"2019-04-07",25,13,5321,"daily"
"2019-04-07",25,46,100,"daily"
"2019-04-07",25,8,1051,"daily"
"2019-04-07",25,21,641,"daily"
"2019-04-07",25,23,199,"daily"
"2019-04-07",25,9,1807,"daily"
"2019-04-07",25,32,242,"daily"
"2019-04-07",25,36,476,"daily"
